Date;Stock_Price;Shares;Equity;Debt;Asset
1997-05-26;287.962;11.52;3317.32224;5126;8443.32224
1997-05-27;290.103;11.52;3341.98656;5126;8467.98656
1997-05-28;287.183;11.52;3308.34816;5126;8434.34816
1997-05-29;286.209;11.52;3297.12768;5126;8423.12768
1997-05-30;280.758;11.52;3234.33216;5126;8360.33216
1997-06-02;286.209;11.52;3297.12768;5126;8423.12768
1997-06-03;286.209;11.52;3297.12768;5126;8423.12768
1997-06-04;283.873;11.52;3270.21696;5126;8396.21696
1997-06-05;283.094;11.52;3261.24288;5126;8387.24288
1997-06-06;284.262;11.52;3274.69824;5126;8400.69824
1997-06-09;288.935;11.52;3328.5312;5126;8454.5312
1997-06-10;297.307;11.52;3424.97664;5126;8550.97664
1997-06-11;294.971;11.52;3398.06592;5126;8524.06592
1997-06-12;308.795;11.52;3557.3184;5126;8683.3184
1997-06-13;310.158;11.52;3573.02016;5126;8699.02016
1997-06-16;305.679;11.52;3521.42208;5126;8647.42208
1997-06-17;297.891;11.52;3431.70432;5126;8557.70432
1997-06-18;300.033;11.52;3456.38016;5126;8582.38016
1997-06-19;308.016;11.52;3548.34432;5126;8674.34432
1997-06-20;318.53;11.52;3669.4656;5126;8795.4656
1997-06-23;313.467;11.52;3611.13984;5126;8737.13984
1997-06-24;312.689;11.52;3602.17728;5126;8728.17728
1997-06-25;315.025;11.52;3629.088;5126;8755.088
1997-06-26;312.689;11.52;3602.17728;5126;8728.17728
1997-06-27;320.282;11.52;3689.64864;5126;8815.64864
1997-06-30;318.53;11.52;3669.4656;5126;8795.4656
1997-07-01;325.734;11.52;3752.45568;5126;8878.45568
1997-07-02;333.911;11.52;3846.65472;5126;8972.65472
1997-07-03;345.204;11.52;3976.75008;5126;9102.75008
1997-07-04;346.177;11.52;3987.95904;5126;9113.95904
1997-07-07;345.204;11.52;3976.75008;5126;9102.75008
1997-07-08;354.16;11.52;4079.9232;5126;9205.9232
1997-07-09;359.222;11.52;4138.23744;5126;9264.23744
1997-07-10;350.655;11.52;4039.5456;5126;9165.5456
1997-07-11;348.124;11.52;4010.38848;5126;9136.38848
1997-07-14;340.725;11.52;3925.152;5126;9051.152
1997-07-15;351.239;11.52;4046.27328;5126;9172.27328
1997-07-16;362.143;11.52;4171.88736;5126;9297.88736
1997-07-17;364.479;11.52;4198.79808;5126;9324.79808
1997-07-18;348.514;11.52;4014.88128;5126;9140.88128
1997-07-21;349.292;11.52;4023.84384;5126;9149.84384
1997-07-22;355.912;11.52;4100.10624;5126;9226.10624
1997-07-23;366.231;11.52;4218.98112;5126;9344.98112
1997-07-24;363.116;11.52;4183.09632;5126;9309.09632
1997-07-25;360.196;11.52;4149.45792;5126;9275.45792
1997-07-28;369.346;11.52;4254.86592;5126;9380.86592
1997-07-29;370.515;11.52;4268.3328;5126;9394.3328
1997-07-30;370.32;11.52;4266.0864;5126;9392.0864
1997-07-31;377.913;11.52;4353.55776;5126;9479.55776
1997-08-04;372.851;11.52;4295.24352;5126;9421.24352
1997-08-05;373.825;11.52;4306.464;5126;9432.464
1997-08-06;386.285;11.52;4450.0032;5126;9576.0032
1997-08-07;386.869;11.52;4456.73088;5126;9582.73088
1997-08-08;383.56;11.52;4418.6112;5126;9544.6112
1997-08-11;386.091;11.52;4447.76832;5126;9573.76832
1997-08-12;388.232;11.52;4472.43264;5126;9598.43264
